Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/Y61.sam
AT1G12440	2328.50
AT1G12450	209.50
AT1G12451	0
AT1G12460	125.50
AT1G12470	235
AT1G12480	36
AT1G12490	0
AT1G12500	1321
AT1G12510	0
AT1G12520	2315.00
AT1G12530	209
AT1G12540	0
AT1G12550	173
AT1G12560	0
AT1G12570	270.17
AT1G12580	466
AT1G12590	0
AT1G12600	7
AT1G12610	8
AT1G12620	28
AT1G12630	7
AT1G12640	802.50
AT1G12650	144
AT1G12660	0
AT1G12663	0
AT1G12665	0
AT1G12672	1
AT1G12680	270
AT1G12700	31
AT1G12710	361.50
AT1G12730	129
AT1G12740	0
AT1G12750	532.50
AT1G12760	1619.67
AT1G12770	458.50
AT1G12775	26
AT1G12780	605
AT1G12790	35
AT1G12800	1008.50
AT1G12805	28.50
AT1G12810	748
AT1G12820	937
AT1G12830	169.50
AT1G12840	4153
AT1G12845	505.25
AT1G12850	842.50
AT1G12855	1
AT1G12860	488
AT1G12870	0.33
AT1G12880	113
AT1G12890	1
AT1G12900	41850.92
AT1G12910	412
AT1G12920	620
AT1G12930	139
AT1G12938	0
AT1G12940	41
AT1G12950	18
AT1G12960	0
AT1G12970	211
AT1G12980	1
AT1G12990	631
AT1G13000	211.83
AT1G13010	0
AT1G13020	388
AT1G13030	36
AT1G13040	10
AT1G13050	29
AT1G13060	1936.25
AT1G13080	292.08
AT1G13090	604.25
AT1G13100	257.50
AT1G13110	1500.50
AT1G13120	86
AT1G13130	0
AT1G13140	12
AT1G13150	20
AT1G13160	112.50
AT1G13170	152.50
AT1G13180	158
AT1G13190	580.50
AT1G13195	179.50
AT1G13200	0
AT1G13210	827
AT1G13220	67
AT1G13230	0
AT1G13240	0
AT1G13245	2694.17
AT1G13250	589.50
AT1G13260	2350.50
AT1G13270	1346.50
AT1G13280	1617.33
AT1G13290	0
AT1G13300	9
AT1G13310	3
AT1G13320	653
AT1G13330	83
AT1G13340	337.50
AT1G13350	178.50
AT1G13360	1658
AT1G13370	9
AT1G13380	808
AT1G13390	1110.83
AT1G13400	5
AT1G13410	10.50
AT1G13420	28
AT1G13430	39
